Location,Type,Latitude,Longitude,for_the_Disabled
民權大橋下游堤防側,一般型,25.06534942,121.5720961,
民權大橋旁上游停車場,一般型,25.06427861,121.5721563,
民權大橋旁上游停車場,無障礙,25.06426161,121.5721565,
環山抽水站上游停車場旁,一般型,25.07576934,121.5634891,
環山抽水站上游停車場旁,一般型,25.07575327,121.5634877,
基16疏散門上游210m停車場,一般型,25.0767125,121.5580189,
基右美堤越堤坡道前停車場周邊(靠壘球場),一般型,25.07582252,121.5647901,
基右美堤越堤坡道前停車場周邊(靠壘球場),一般型,25.07580643,121.5647941,
基右美堤越堤坡道前停車場周邊(靠壘球場),無障礙,25.07582723,121.5648512,
基右美堤網球場周邊,一般型,25.07688146,121.5540378,
基右美堤網球場周邊,一般型,25.07686384,121.5540378,
南湖橋下,一般型,25.06356874,121.6112635,
麥帥一橋橋墩旁,無障礙,25.05324439,121.5742496,
溜冰場旁,無障礙,25.07505556,121.5268333,
基右大直橋自行車牽引道,一般型,25.07727489,121.5439488,
網球場旁,無障礙,25.07691101,121.5540373,
美堤河濱公園自行車租借站旁,一般型,25.07598473,121.5613328,
美堤河濱公園自行車租借站旁,一般型,25.07598904,121.5613137,
美堤河濱公園自行車租借站旁,無障礙,25.07598593,121.5613242,
中山高速公路橋下,一般型,25.07138026,121.572722,
麥帥二橋下,一般型,25.05711639,121.5732992,
麥帥一橋下游250m停車場,一般型,25.05513504,121.5736019,
麥帥一橋橋墩旁,一般型,25.05328167,121.5742009,
成美橋旁,一般型,25.05462302,121.5824292,
成功橋自行車牽引道下,一般型,25.05935757,121.5909596,
基1號疏散門旁,一般型,25.05924932,121.6215525,
南湖大橋牽引道旁,一般型,25.06290109,121.6126101,
基左成美橋下游100m處,無障礙,25.05163911,121.5772773,
基左成美橋下游100m處,一般型,25.05164359,121.5772957,
麥帥一橋圓柱旁,一般型,25.05163691,121.5710572,
麥帥二橋圓柱旁,一般型,25.05501962,121.5702597,
基5號水門旁,無障礙,25.05887908,121.569581,
高速公路橋下,無障礙,25.07085248,121.5690276,
高速公路橋下,無障礙,25.07280672,121.5701264,
壘球場旁,一般型,25.07171359,121.5671665,
基8號疏散門正前方,無障礙,25.07388253,121.5400277,
基8號疏散門正前方,一般型,25.07387959,121.5400854,
基8號疏散門正前方,一般型,25.07387959,121.5400635,
兒童遊戲區,景觀,25.07451499,121.5358549,
兒童遊戲區,景觀,25.07451329,121.5359224,
兒童遊戲區,景觀,25.07457442,121.5359224,
碼頭南側,景觀,25.07559831,121.5371953,
碼頭南側,景觀,25.07559831,121.5372366,
碼頭南側,景觀,25.07559831,121.5372816,
碼頭南側,景觀,25.07559661,121.5373303,
近大直橋下游岸邊,景觀,25.07554055,121.5430095,
近大直橋下游岸邊,景觀,25.07553549,121.543043,
近大直橋下游岸邊,景觀,25.07553323,121.5430766,
近大直橋下游岸邊,景觀,25.0755338,121.543107,
近大直橋下游岸邊,景觀,25.07553323,121.5431337,
近大直橋下游岸邊,景觀,25.07553098,121.5431592,
近大直橋下游岸邊,景觀,25.07552986,121.5431847,
近大直橋下游岸邊,景觀,25.07552705,121.543212,
客家園區鋼橋下,固定式,25.02001569,121.5225596,
華江橋上游棒壘球場旁,一般型,25.03434471,121.4873703,
華江橋上游棒壘球場旁,一般型,25.03431912,121.4874283,
華江橋上游棒壘球場旁,無障礙,25.03433147,121.4873987,
華江橋上游籃球場、網球場間,一般型,25.0341574,121.4877952,
華江橋上游籃球場、網球場間,一般型,25.0339509,121.4882562,
華江橋上游籃球場、網球場間,一般型,25.03416722,121.4877729,
忠孝橋下方,一般型,25.04927889,121.5049892,
貴陽疏散門前方,無障礙,25.04136384,121.4983571,
萬板橋下游公車停車場旁,一般型,25.03100758,121.488238,
華中橋下游網球場旁,一般型,25.01657349,121.4915048,
華中橋下游自行車練習場旁,無障礙,25.01222633,121.4951211,
中正橋下游約200公尺跨堤行人陸橋下,一般型,25.02376692,121.5145149,
福和橋下,一般型,25.00866753,121.5327446,
景文街自行車鋼便橋旁,一般型,24.99641883,121.5352528,
育英疏散門下游網球場旁與溜冰場間,一般型,24.9903052,121.5366012,
和興水密門自行車牽引道旁,一般型,24.98648188,121.5506404,
籃球場旁,無障礙,24.98401471,121.5453485,
一壽橋旁上游20公尺處,無障礙,24.97695822,121.5568666,
木新抽水站堤頂,一般型,24.98177377,121.5656379,
恆光橋下,一般型,24.98085321,121.5675117,
萬壽橋下,無障礙,24.99156153,121.5716919,
政大籃球場,一般型,24.98523617,121.5727746,
捷運橋下附近,一般型,24.9978634,121.5749016,
捷運橋下附近,無障礙,24.99784768,121.5748964,
動物園自行車租借站旁,無障礙,24.99910287,121.5792242,
足球場旁捷運橋下,一般型,24.99763281,121.5763761,
馬場町疏散門上游約100公尺臨河岸側,一般型,25.02075759,121.5066581,
馬場町疏散門上游約100公尺臨河岸側,無障礙,25.02074354,121.5066682,
華江橋下臨水防道路旁,無障礙,25.03555619,121.490209,
下游籃球場旁,無障礙,25.01983174,121.5207545,
政大籃球場,無障礙,24.985235,121.5727968,
動物園自行車租借站旁,一般型,24.99912483,121.5792657,
遙控賽車場旁,無障礙,24.99914628,121.5778606,
萬壽橋下,一般型,24.99158764,121.5724601,
萬壽橋下,無障礙,24.9915858,121.5724139,
恆光橋下游烤肉區,無障礙,24.98019318,121.5670429,
恆光橋下游烤肉區,一般型,24.98016637,121.5670395,
道南橋上游自行車牽引道旁,一般型,24.98848568,121.571239,
萬壽橋下,一般型,24.99176883,121.5716513,
恆光橋上游約400公尺處網球場旁,一般型,24.98303001,121.5704337,
恆光橋上游約400公尺處網球場旁,一般型,24.98303293,121.5704444,
恆光橋下,無障礙,24.98085886,121.5674652,
恆光橋下,一般型,24.98085665,121.5674879,
一壽橋旁上游20公尺處,一般型,24.97697229,121.5568925,
寶橋下,一般型,24.97984091,121.5536702,
籃球場旁,一般型,24.98400987,121.5453374,
北新橋旁下游,無障礙,24.98830493,121.5393806,
北新橋旁下游,一般型,24.98831564,121.5393808,
北新橋旁下游,一般型,24.98832697,121.5393808,
育英疏散門下游網球場旁與溜冰場間,一般型,24.99030821,121.5365781,
第2座(上游側)壘球場旁,無障礙,25.0006201,121.5351213,
第1座(上游側)壘球場旁,一般型,25.00209684,121.5352692,
福和橋下,無障礙,25.00864657,121.5327581,
福和橋下,一般型,25.00867862,121.5327261,
上游網球場旁,一般型,25.01989781,121.5207538,
中正橋下游約201公尺跨堤行人陸橋下,一般型,25.02376199,121.5144976,
馬場町疏散門上游約100公尺臨河岸側,一般型,25.02077198,121.5066465,
馬場町與華中水防道路交界,一般型,25.01836198,121.5022726,
自行車道5.5公里附近,無障礙,25.01575502,121.5006878,
華中橋下游自行車練習場旁,一般型,25.01224767,121.4951198,
華中橋下游壘球場旁,無障礙,25.01593346,121.4951951,
華中橋下游壘球場旁,一般型,25.0159236,121.4951926,
華中橋下游網球場旁,無障礙,25.01655657,121.4915161,
華中橋下游網球場與籃球場間,一般型,25.01697033,121.4923368,
光復橋上游足球場旁,一般型,25.0217545,121.4910264,
光復橋下,無障礙,25.02422857,121.4902563,
光復橋下,一般型,25.02422857,121.4902563,
華翠橋下游旁,一般型,25.02765331,121.4885922,
貴陽疏散門前方,一般型,25.04139652,121.498386,
永福橋停車場旁,景觀,25.01442693,121.5260813,
永福橋停車場旁,景觀,25.01445213,121.5260646,
永福橋停車場旁,景觀,25.01447435,121.5260507,
永福橋停車場旁,景觀,25.01449658,121.5260312,
永福橋停車場旁,景觀,25.01451324,121.5260229,
大稻埕碼頭廣場,景觀,25.05719074,121.5079608,
大稻埕碼頭廣場,景觀,25.05716852,121.5079553,
大稻埕碼頭廣場,景觀,25.05714609,121.5079536,
自行車租借站旁,景觀,25.05575463,121.5076358,
自行車租借站旁,景觀,25.05575463,121.5076081,
自行車租借站旁,景觀,25.05576019,121.5075803,
自行車租借站旁,景觀,25.0557713,121.5075581,
自行車租借站旁,景觀,25.05576852,121.5075414,
延平宮旁,景觀,25.054255,121.5072817,
延平宮旁,景觀,25.05421334,121.5072706,
延平宮旁,景觀,25.05411889,121.5072567,
延平宮旁,景觀,25.05409111,121.5072456,
福安河濱公園,一般型,25.09462984,121.4951658,
天水宮旁,一般型,25.05778439,121.5082323,
